locus	gene
41	ENSG00000259628
41	ENSG00000213542
41	ENSG00000135205
41	ENSG00000127947
41	ENSG00000214293
41	ENSG00000135211
41	ENSG00000006576
41	ENSG00000285892
41	ENSG00000187391
42	ENSG00000135272
43	ENSG00000135272
44	ENSG00000254153
44	ENSG00000173281
44	ENSG00000272267
44	ENSG00000260093
44	ENSG00000286622
44	ENSG00000261451
44	ENSG00000253641
44	ENSG00000207128
44	ENSG00000272505
44	ENSG00000184647
44	ENSG00000253649
44	ENSG00000254093
44	ENSG00000280294
44	ENSG00000254839
44	ENSG00000269918
44	ENSG00000255310
44	ENSG00000171044
44	ENSG00000270076
44	ENSG00000249316
44	ENSG00000104643
44	ENSG00000280273
44	ENSG00000177710
44	ENSG00000154316
44	ENSG00000184608
44	ENSG00000154319
44	ENSG00000227203
44	ENSG00000079459
44	ENSG00000269899
44	ENSG00000164733
44	ENSG00000287798
44	ENSG00000205882
44	ENSG00000254507
44	ENSG00000284610
44	ENSG00000255052
44	ENSG00000249889
44	ENSG00000255495
45	ENSG00000147485
45	ENSG00000253475
45	ENSG00000168300
45	ENSG00000272024
45	ENSG00000147488
45	ENSG00000082556
45	ENSG00000120992
46	ENSG00000246792
46	ENSG00000123119
46	ENSG00000253250
46	ENSG00000155100
46	ENSG00000253738
46	ENSG00000214954
46	ENSG00000253177
46	ENSG00000248858
46	ENSG00000205133
47	ENSG00000279786
47	ENSG00000169398
47	ENSG00000105339
47	ENSG00000253210
47	ENSG00000280035
47	ENSG00000253307
47	ENSG00000022567
47	ENSG00000271959
47	ENSG00000287677
47	ENSG00000171045
47	ENSG00000181790
47	ENSG00000198576
47	ENSG00000167653
47	ENSG00000253741
47	ENSG00000130193
47	ENSG00000160932
47	ENSG00000272172
47	ENSG00000184428
47	ENSG00000254338
48	ENSG00000234740
48	ENSG00000107186
48	ENSG00000225472
48	ENSG00000147862
48	ENSG00000237137
48	ENSG00000273399
48	ENSG00000272871
48	ENSG00000175893
48	ENSG00000147869
48	ENSG00000164946
48	ENSG00000215237
48	ENSG00000232000
48	ENSG00000155158
48	ENSG00000164975
48	ENSG00000164985
48	ENSG00000164989
49	ENSG00000107864
49	ENSG00000285846
49	ENSG00000186188
49	ENSG00000138207
49	ENSG00000148690
49	ENSG00000280660
49	ENSG00000176273
49	ENSG00000138193
49	ENSG00000234724
49	ENSG00000173145
49	ENSG00000108239
49	ENSG00000138115
5	ENSG00000117519
5	ENSG00000235501
5	ENSG00000152078
5	ENSG00000231992
5	ENSG00000226026
5	ENSG00000122481
5	ENSG00000228502
5	ENSG00000117569
5	ENSG00000232542
5	ENSG00000285922
50	ENSG00000107954
50	ENSG00000107957
50	ENSG00000107960
50	ENSG00000156384
50	ENSG00000197748
50	ENSG00000148834
50	ENSG00000266852
50	ENSG00000065621
50	ENSG00000228261
50	ENSG00000148841
50	ENSG00000156395
51	ENSG00000107954
51	ENSG00000107957
51	ENSG00000107960
51	ENSG00000156384
51	ENSG00000197748
51	ENSG00000148834
51	ENSG00000266852
51	ENSG00000065621
51	ENSG00000228261
51	ENSG00000148841
51	ENSG00000156395
52	ENSG00000254862
52	ENSG00000245573
52	ENSG00000255094
52	ENSG00000169519
52	ENSG00000152219
53	ENSG00000166908
53	ENSG00000178498
53	ENSG00000287908
53	ENSG00000135502
53	ENSG00000135454
53	ENSG00000135452
53	ENSG00000111012
53	ENSG00000123427
53	ENSG00000037897
53	ENSG00000257921
53	ENSG00000123297
53	ENSG00000270039
53	ENSG00000166896
53	ENSG00000257698
53	ENSG00000257159
53	ENSG00000139263
53	ENSG00000062485
53	ENSG00000257740
53	ENSG00000276272
53	ENSG00000176422
53	ENSG00000198056
53	ENSG00000170426
53	ENSG00000139547
53	ENSG00000166888
53	ENSG00000182379
53	ENSG00000182199
53	ENSG00000258830
53	ENSG00000258001
53	ENSG00000264046
53	ENSG00000166987
53	ENSG00000175203
53	ENSG00000155980
54	ENSG00000198707
54	ENSG00000049130
54	ENSG00000274021
54	ENSG00000139318
54	ENSG00000271327
54	ENSG00000271259
54	ENSG00000270344
54	ENSG00000257594
54	ENSG00000139323
54	ENSG00000258302
54	ENSG00000271614
54	ENSG00000070961
55	ENSG00000185950
55	ENSG00000187498
55	ENSG00000139832
55	ENSG00000213995
55	ENSG00000153487
55	ENSG00000134905
55	ENSG00000255874
55	ENSG00000229152
55	ENSG00000088448
55	ENSG00000277767
55	ENSG00000286824
55	ENSG00000102606
55	ENSG00000235875
55	ENSG00000233644
55	ENSG00000153495
55	ENSG00000224243
55	ENSG00000153498
56	ENSG00000141458
56	ENSG00000154040
56	ENSG00000265750
56	ENSG00000273321
56	ENSG00000199636
