locus	gene
47	ENSG00000171045.16
47	ENSG00000181790.11
47	ENSG00000198576.4
47	ENSG00000167653.5
47	ENSG00000234616.8
47	ENSG00000160886.13
47	ENSG00000130193.8
47	ENSG00000180155.20
47	ENSG00000167656.5
48	ENSG00000107186.16
48	ENSG00000147862.17
48	ENSG00000175893.11
48	ENSG00000147869.5
48	ENSG00000164946.19
48	ENSG00000155158.20
48	ENSG00000164975.15
48	ENSG00000164985.15
48	ENSG00000164989.17
49	ENSG00000138190.17
49	ENSG00000187553.10
49	ENSG00000095596.12
49	ENSG00000138119.17
49	ENSG00000138180.16
49	ENSG00000186188.10
49	ENSG00000138207.14
49	ENSG00000095464.10
49	ENSG00000148690.12
49	ENSG00000176273.15
49	ENSG00000138193.15
49	ENSG00000173145.11
49	ENSG00000108239.9
49	ENSG00000119969.15
49	ENSG00000108242.13
49	ENSG00000165841.11
49	ENSG00000138115.14
49	ENSG00000173124.14
49	ENSG00000107438.9
5	ENSG00000152078.10
5	ENSG00000122481.17
5	ENSG00000117569.18
50	ENSG00000214435.8
50	ENSG00000148798.11
50	ENSG00000107960.11
50	ENSG00000065613.15
50	ENSG00000065618.21
50	ENSG00000156384.14
50	ENSG00000197748.12
50	ENSG00000148834.13
50	ENSG00000065621.15
50	ENSG00000148841.17
50	ENSG00000120051.15
50	ENSG00000156395.13
51	ENSG00000214435.8
51	ENSG00000148798.11
51	ENSG00000107960.11
51	ENSG00000065613.15
51	ENSG00000065618.21
51	ENSG00000156384.14
51	ENSG00000197748.12
51	ENSG00000148834.13
51	ENSG00000065621.15
51	ENSG00000148841.17
51	ENSG00000120051.15
51	ENSG00000156395.13
52	ENSG00000109881.17
52	ENSG00000121621.7
52	ENSG00000169519.21
52	ENSG00000131808.10
53	ENSG00000197728.11
53	ENSG00000196465.10
53	ENSG00000139540.12
53	ENSG00000257727.6
53	ENSG00000135473.15
53	ENSG00000135517.9
53	ENSG00000025423.11
53	ENSG00000198056.15
53	ENSG00000170426.2
53	ENSG00000139547.7
53	ENSG00000166856.3
53	ENSG00000166860.3
53	ENSG00000166863.12
53	ENSG00000166866.13
53	ENSG00000166881.10
53	ENSG00000166886.13
53	ENSG00000166888.12
53	ENSG00000185482.8
53	ENSG00000179912.20
53	ENSG00000175189.4
53	ENSG00000139269.3
53	ENSG00000123329.19
53	ENSG00000175197.12
53	ENSG00000166908.18
53	ENSG00000178498.16
53	ENSG00000240771.8
53	ENSG00000135502.18
53	ENSG00000135454.14
53	ENSG00000135452.10
53	ENSG00000139266.6
53	ENSG00000135446.17
53	ENSG00000111012.10
53	ENSG00000123427.17
53	ENSG00000037897.17
53	ENSG00000123297.19
53	ENSG00000135407.10
53	ENSG00000175215.11
53	ENSG00000166896.9
53	ENSG00000139263.11
54	ENSG00000133641.18
54	ENSG00000198707.16
54	ENSG00000139324.12
54	ENSG00000139318.8
54	ENSG00000257594.4
54	ENSG00000139323.14
54	ENSG00000070961.15
55	ENSG00000185950.9
55	ENSG00000134871.19
55	ENSG00000187498.16
55	ENSG00000213995.11
55	ENSG00000153487.12
55	ENSG00000134905.17
55	ENSG00000088448.14
55	ENSG00000102606.18
55	ENSG00000153495.11
56	ENSG00000141452.10
56	ENSG00000154040.20
56	ENSG00000141447.18
56	ENSG00000154059.11
56	ENSG00000134489.7
56	ENSG00000198795.11
56	ENSG00000141380.14
56	ENSG00000141384.12
56	ENSG00000134504.14
57	ENSG00000187323.12
57	ENSG00000134046.12
57	ENSG00000101751.10
57	ENSG00000166845.15
57	ENSG00000174448.8
57	ENSG00000041353.10
58	ENSG00000089101.18
58	ENSG00000173404.5
58	ENSG00000188559.15
58	ENSG00000088970.16
58	ENSG00000088930.8
58	ENSG00000125816.5
58	ENSG00000125820.6
